"Time (CET/CEST),""BZN|PL > BZN|DE-AT-LU Day Ahead [MW]"",""BZN|PL > BZN|DE-AT-LU Total [MW]"",""BZN|DE-AT-LU > BZN|PL Day Ahead [MW]"",""BZN|DE-AT-LU > BZN|PL Total [MW]"""
"03.01.2018 00:00 - 03.01.2018 01:00,""0"",""0"",""422"",""422"""
"03.01.2018 01:00 - 03.01.2018 02:00,""0"",""0"",""245"",""245"""
"03.01.2018 02:00 - 03.01.2018 03:00,""0"",""0"",""170"",""170"""
"03.01.2018 03:00 - 03.01.2018 04:00,""0"",""0"",""162"",""162"""
"03.01.2018 04:00 - 03.01.2018 05:00,""0"",""0"",""160"",""160"""
"03.01.2018 05:00 - 03.01.2018 06:00,""0"",""0"",""201"",""201"""
"03.01.2018 06:00 - 03.01.2018 07:00,""0"",""0"",""314"",""314"""
"03.01.2018 07:00 - 03.01.2018 08:00,""0"",""0"",""239"",""239"""
"03.01.2018 08:00 - 03.01.2018 09:00,""0"",""0"",""189"",""189"""
"03.01.2018 09:00 - 03.01.2018 10:00,""0"",""0"",""180"",""180"""
"03.01.2018 10:00 - 03.01.2018 11:00,""0"",""0"",""320"",""320"""
"03.01.2018 11:00 - 03.01.2018 12:00,""0"",""0"",""380"",""380"""
"03.01.2018 12:00 - 03.01.2018 13:00,""0"",""0"",""390"",""390"""
"03.01.2018 13:00 - 03.01.2018 14:00,""0"",""0"",""415"",""415"""
"03.01.2018 14:00 - 03.01.2018 15:00,""0"",""0"",""400"",""400"""
"03.01.2018 15:00 - 03.01.2018 16:00,""0"",""0"",""360"",""360"""
"03.01.2018 16:00 - 03.01.2018 17:00,""0"",""0"",""385"",""385"""
"03.01.2018 17:00 - 03.01.2018 18:00,""0"",""0"",""354"",""354"""
"03.01.2018 18:00 - 03.01.2018 19:00,""0"",""0"",""270"",""270"""
"03.01.2018 19:00 - 03.01.2018 20:00,""0"",""0"",""254"",""254"""
"03.01.2018 20:00 - 03.01.2018 21:00,""0"",""0"",""254"",""254"""
"03.01.2018 21:00 - 03.01.2018 22:00,""0"",""0"",""355"",""355"""
"03.01.2018 22:00 - 03.01.2018 23:00,""0"",""0"",""269"",""269"""
"03.01.2018 23:00 - 04.01.2018 00:00,""0"",""0"",""0"",""0"""
"04.01.2018 00:00 - 04.01.2018 01:00,""0"",""0"",""0"",""0"""
"04.01.2018 01:00 - 04.01.2018 02:00,""0"",""0"",""0"",""0"""
"04.01.2018 02:00 - 04.01.2018 03:00,""0"",""0"",""0"",""0"""
"04.01.2018 03:00 - 04.01.2018 04:00,""0"",""0"",""0"",""0"""
"04.01.2018 04:00 - 04.01.2018 05:00,""0"",""0"",""0"",""0"""
"04.01.2018 05:00 - 04.01.2018 06:00,""0"",""0"",""0"",""0"""
"04.01.2018 06:00 - 04.01.2018 07:00,""0"",""0"",""0"",""0"""
"04.01.2018 07:00 - 04.01.2018 08:00,""0"",""0"",""156"",""156"""
"04.01.2018 08:00 - 04.01.2018 09:00,""25"",""25"",""165"",""165"""
"04.01.2018 09:00 - 04.01.2018 10:00,""65"",""65"",""0"",""0"""
"04.01.2018 10:00 - 04.01.2018 11:00,""125"",""125"",""0"",""0"""
"04.01.2018 11:00 - 04.01.2018 12:00,""135"",""135"",""0"",""0"""
"04.01.2018 12:00 - 04.01.2018 13:00,""85"",""85"",""0"",""0"""
"04.01.2018 13:00 - 04.01.2018 14:00,""75"",""75"",""0"",""0"""
"04.01.2018 14:00 - 04.01.2018 15:00,""54"",""54"",""0"",""200"""
"04.01.2018 15:00 - 04.01.2018 16:00,""5"",""5"",""0"",""200"""
"04.01.2018 16:00 - 04.01.2018 17:00,""0"",""0"",""100"",""300"""
"04.01.2018 17:00 - 04.01.2018 18:00,""0"",""0"",""0"",""200"""
"04.01.2018 18:00 - 04.01.2018 19:00,""0"",""0"",""0"",""200"""
"04.01.2018 19:00 - 04.01.2018 20:00,""0"",""0"",""25"",""225"""
"04.01.2018 20:00 - 04.01.2018 21:00,""0"",""0"",""275"",""375"""
"04.01.2018 21:00 - 04.01.2018 22:00,""0"",""0"",""290"",""290"""
"04.01.2018 22:00 - 04.01.2018 23:00,""81"",""81"",""200"",""200"""
"04.01.2018 23:00 - 05.01.2018 00:00,""0"",""0"",""152"",""152"""
"05.01.2018 00:00 - 05.01.2018 01:00,""0"",""0"",""0"",""0"""
"05.01.2018 01:00 - 05.01.2018 02:00,""0"",""0"",""0"",""0"""
"05.01.2018 02:00 - 05.01.2018 03:00,""0"",""0"",""0"",""0"""
"05.01.2018 03:00 - 05.01.2018 04:00,""0"",""0"",""0"",""0"""
"05.01.2018 04:00 - 05.01.2018 05:00,""0"",""0"",""0"",""0"""
"05.01.2018 05:00 - 05.01.2018 06:00,""0"",""0"",""0"",""0"""
"05.01.2018 06:00 - 05.01.2018 07:00,""0"",""0"",""0"",""0"""
"05.01.2018 07:00 - 05.01.2018 08:00,""0"",""0"",""175"",""175"""
"05.01.2018 08:00 - 05.01.2018 09:00,""42"",""42"",""115"",""115"""
"05.01.2018 09:00 - 05.01.2018 10:00,""70"",""70"",""175"",""175"""
"05.01.2018 10:00 - 05.01.2018 11:00,""136"",""136"",""95"",""95"""
"05.01.2018 11:00 - 05.01.2018 12:00,""155"",""155"",""20"",""20"""
"05.01.2018 12:00 - 05.01.2018 13:00,""250"",""250"",""20"",""120"""
"05.01.2018 13:00 - 05.01.2018 14:00,""540"",""540"",""50"",""150"""
"05.01.2018 14:00 - 05.01.2018 15:00,""567"",""567"",""0"",""100"""
"05.01.2018 15:00 - 05.01.2018 16:00,""602"",""602"",""0"",""50"""
"05.01.2018 16:00 - 05.01.2018 17:00,""390"",""390"",""0"",""100"""
"05.01.2018 17:00 - 05.01.2018 18:00,""300"",""300"",""0"",""0"""
"05.01.2018 18:00 - 05.01.2018 19:00,""400"",""400"",""0"",""0"""
"05.01.2018 19:00 - 05.01.2018 20:00,""455"",""455"",""0"",""0"""
"05.01.2018 20:00 - 05.01.2018 21:00,""680"",""680"",""0"",""100"""
"05.01.2018 21:00 - 05.01.2018 22:00,""395"",""395"",""0"",""0"""
"05.01.2018 22:00 - 05.01.2018 23:00,""1365"",""1365"",""15"",""15"""
"05.01.2018 23:00 - 06.01.2018 00:00,""680"",""680"",""70"",""170"""
"06.01.2018 00:00 - 06.01.2018 01:00,""100"",""100"",""110"",""110"""
"06.01.2018 01:00 - 06.01.2018 02:00,""68"",""68"",""0"",""0"""
"06.01.2018 02:00 - 06.01.2018 03:00,""0"",""0"",""0"",""0"""
"06.01.2018 03:00 - 06.01.2018 04:00,""0"",""0"",""0"",""0"""
"06.01.2018 04:00 - 06.01.2018 05:00,""0"",""0"",""0"",""0"""
"06.01.2018 05:00 - 06.01.2018 06:00,""0"",""0"",""0"",""0"""
"06.01.2018 06:00 - 06.01.2018 07:00,""0"",""0"",""0"",""0"""
"06.01.2018 07:00 - 06.01.2018 08:00,""178"",""178"",""0"",""0"""
"06.01.2018 08:00 - 06.01.2018 09:00,""271"",""271"",""0"",""0"""
"06.01.2018 09:00 - 06.01.2018 10:00,""986"",""986"",""0"",""100"""
"06.01.2018 10:00 - 06.01.2018 11:00,""1080"",""1080"",""0"",""0"""
"06.01.2018 11:00 - 06.01.2018 12:00,""1109"",""1109"",""0"",""70"""
"06.01.2018 12:00 - 06.01.2018 13:00,""1029"",""1029"",""0"",""0"""
"06.01.2018 13:00 - 06.01.2018 14:00,""900"",""900"",""0"",""0"""
"06.01.2018 14:00 - 06.01.2018 15:00,""1200"",""1200"",""0"",""130"""
"06.01.2018 15:00 - 06.01.2018 16:00,""1250"",""1250"",""0"",""180"""
"06.01.2018 16:00 - 06.01.2018 17:00,""261"",""261"",""12"",""62"""
"06.01.2018 17:00 - 06.01.2018 18:00,""737"",""737"",""0"",""150"""
"06.01.2018 18:00 - 06.01.2018 19:00,""905"",""905"",""0"",""0"""
"06.01.2018 19:00 - 06.01.2018 20:00,""681"",""681"",""0"",""43"""
"06.01.2018 20:00 - 06.01.2018 21:00,""301"",""301"",""0"",""155"""
"06.01.2018 21:00 - 06.01.2018 22:00,""0"",""0"",""40"",""115"""
"06.01.2018 22:00 - 06.01.2018 23:00,""164"",""164"",""0"",""75"""
"06.01.2018 23:00 - 07.01.2018 00:00,""0"",""0"",""55"",""55"""
"07.01.2018 00:00 - 07.01.2018 01:00,""0"",""0"",""105"",""105"""
"07.01.2018 01:00 - 07.01.2018 02:00,""0"",""0"",""63"",""63"""
"07.01.2018 02:00 - 07.01.2018 03:00,""0"",""0"",""0"",""0"""
"07.01.2018 03:00 - 07.01.2018 04:00,""0"",""0"",""0"",""0"""
"07.01.2018 04:00 - 07.01.2018 05:00,""0"",""0"",""0"",""0"""
"07.01.2018 05:00 - 07.01.2018 06:00,""0"",""0"",""0"",""0"""
"07.01.2018 06:00 - 07.01.2018 07:00,""0"",""0"",""0"",""0"""
"07.01.2018 07:00 - 07.01.2018 08:00,""0"",""0"",""0"",""0"""
"07.01.2018 08:00 - 07.01.2018 09:00,""0"",""0"",""50"",""50"""
"07.01.2018 09:00 - 07.01.2018 10:00,""0"",""0"",""61"",""61"""
"07.01.2018 10:00 - 07.01.2018 11:00,""0"",""0"",""61"",""61"""
"07.01.2018 11:00 - 07.01.2018 12:00,""0"",""0"",""61"",""61"""
"07.01.2018 12:00 - 07.01.2018 13:00,""0"",""0"",""71"",""71"""
"07.01.2018 13:00 - 07.01.2018 14:00,""0"",""0"",""64"",""64"""
"07.01.2018 14:00 - 07.01.2018 15:00,""0"",""0"",""67"",""67"""
"07.01.2018 15:00 - 07.01.2018 16:00,""0"",""0"",""57"",""57"""
"07.01.2018 16:00 - 07.01.2018 17:00,""0"",""0"",""56"",""56"""
"07.01.2018 17:00 - 07.01.2018 18:00,""0"",""0"",""66"",""66"""
"07.01.2018 18:00 - 07.01.2018 19:00,""0"",""0"",""67"",""67"""
"07.01.2018 19:00 - 07.01.2018 20:00,""0"",""0"",""70"",""70"""
"07.01.2018 20:00 - 07.01.2018 21:00,""0"",""0"",""60"",""60"""
"07.01.2018 21:00 - 07.01.2018 22:00,""0"",""0"",""72"",""72"""
"07.01.2018 22:00 - 07.01.2018 23:00,""0"",""0"",""72"",""72"""
"07.01.2018 23:00 - 08.01.2018 00:00,""0"",""0"",""105"",""105"""
"08.01.2018 00:00 - 08.01.2018 01:00,""0"",""0"",""0"",""0"""
"08.01.2018 01:00 - 08.01.2018 02:00,""0"",""0"",""0"",""0"""
"08.01.2018 02:00 - 08.01.2018 03:00,""0"",""0"",""0"",""0"""
"08.01.2018 03:00 - 08.01.2018 04:00,""0"",""0"",""0"",""0"""
"08.01.2018 04:00 - 08.01.2018 05:00,""0"",""0"",""0"",""0"""
"08.01.2018 05:00 - 08.01.2018 06:00,""0"",""0"",""150"",""150"""
"08.01.2018 06:00 - 08.01.2018 07:00,""0"",""0"",""315"",""315"""
"08.01.2018 07:00 - 08.01.2018 08:00,""0"",""0"",""174"",""174"""
"08.01.2018 08:00 - 08.01.2018 09:00,""0"",""0"",""469"",""669"""
"08.01.2018 09:00 - 08.01.2018 10:00,""0"",""0"",""476"",""676"""
"08.01.2018 10:00 - 08.01.2018 11:00,""0"",""0"",""446"",""446"""
"08.01.2018 11:00 - 08.01.2018 12:00,""0"",""0"",""397"",""397"""
"08.01.2018 12:00 - 08.01.2018 13:00,""0"",""0"",""378"",""378"""
"08.01.2018 13:00 - 08.01.2018 14:00,""0"",""0"",""397"",""397"""
"08.01.2018 14:00 - 08.01.2018 15:00,""0"",""0"",""396"",""396"""
"08.01.2018 15:00 - 08.01.2018 16:00,""0"",""0"",""407"",""407"""
"08.01.2018 16:00 - 08.01.2018 17:00,""0"",""0"",""374"",""374"""
"08.01.2018 17:00 - 08.01.2018 18:00,""0"",""0"",""427"",""427"""
"08.01.2018 18:00 - 08.01.2018 19:00,""0"",""0"",""432"",""432"""
"08.01.2018 19:00 - 08.01.2018 20:00,""0"",""0"",""428"",""428"""
"08.01.2018 20:00 - 08.01.2018 21:00,""0"",""0"",""321"",""321"""
"08.01.2018 21:00 - 08.01.2018 22:00,""0"",""0"",""371"",""371"""
"08.01.2018 22:00 - 08.01.2018 23:00,""0"",""0"",""417"",""417"""
"08.01.2018 23:00 - 09.01.2018 00:00,""0"",""0"",""426"",""426"""
"09.01.2018 00:00 - 09.01.2018 01:00,""0"",""0"",""207"",""207"""
"09.01.2018 01:00 - 09.01.2018 02:00,""0"",""0"",""10"",""10"""
"09.01.2018 02:00 - 09.01.2018 03:00,""0"",""0"",""0"",""0"""
"09.01.2018 03:00 - 09.01.2018 04:00,""0"",""0"",""0"",""0"""
"09.01.2018 04:00 - 09.01.2018 05:00,""0"",""0"",""0"",""0"""
"09.01.2018 05:00 - 09.01.2018 06:00,""0"",""0"",""13"",""13"""
"09.01.2018 06:00 - 09.01.2018 07:00,""0"",""0"",""108"",""108"""
"09.01.2018 07:00 - 09.01.2018 08:00,""0"",""0"",""267"",""267"""
"09.01.2018 08:00 - 09.01.2018 09:00,""0"",""0"",""312"",""312"""
"09.01.2018 09:00 - 09.01.2018 10:00,""0"",""0"",""317"",""317"""
"09.01.2018 10:00 - 09.01.2018 11:00,""0"",""0"",""360"",""360"""
"09.01.2018 11:00 - 09.01.2018 12:00,""0"",""0"",""377"",""377"""
"09.01.2018 12:00 - 09.01.2018 13:00,""0"",""0"",""421"",""421"""
"09.01.2018 13:00 - 09.01.2018 14:00,""0"",""0"",""290"",""290"""
"09.01.2018 14:00 - 09.01.2018 15:00,""8"",""8"",""150"",""150"""
"09.01.2018 15:00 - 09.01.2018 16:00,""0"",""0"",""0"",""0"""
"09.01.2018 16:00 - 09.01.2018 17:00,""0"",""0"",""0"",""0"""
"09.01.2018 17:00 - 09.01.2018 18:00,""0"",""0"",""0"",""0"""
"09.01.2018 18:00 - 09.01.2018 19:00,""0"",""0"",""0"",""0"""
"09.01.2018 19:00 - 09.01.2018 20:00,""0"",""0"",""0"",""0"""
"09.01.2018 20:00 - 09.01.2018 21:00,""127"",""127"",""0"",""0"""
"09.01.2018 21:00 - 09.01.2018 22:00,""425"",""425"",""0"",""0"""
"09.01.2018 22:00 - 09.01.2018 23:00,""730"",""730"",""80"",""80"""
"09.01.2018 23:00 - 10.01.2018 00:00,""475"",""475"",""0"",""0"""
"10.01.2018 00:00 - 10.01.2018 01:00,""323"",""323"",""0"",""0"""
"10.01.2018 01:00 - 10.01.2018 02:00,""195"",""195"",""0"",""0"""
"10.01.2018 02:00 - 10.01.2018 03:00,""0"",""0"",""0"",""0"""
"10.01.2018 03:00 - 10.01.2018 04:00,""0"",""0"",""0"",""0"""
"10.01.2018 04:00 - 10.01.2018 05:00,""60"",""60"",""0"",""0"""
"10.01.2018 05:00 - 10.01.2018 06:00,""10"",""10"",""0"",""0"""
"10.01.2018 06:00 - 10.01.2018 07:00,""120"",""120"",""0"",""0"""
"10.01.2018 07:00 - 10.01.2018 08:00,""420"",""420"",""0"",""0"""
"10.01.2018 08:00 - 10.01.2018 09:00,""165"",""165"",""100"",""100"""
"10.01.2018 09:00 - 10.01.2018 10:00,""50"",""50"",""0"",""150"""
"10.01.2018 10:00 - 10.01.2018 11:00,""80"",""80"",""420"",""420"""
"10.01.2018 11:00 - 10.01.2018 12:00,""49"",""49"",""340"",""340"""
"10.01.2018 12:00 - 10.01.2018 13:00,""0"",""0"",""360"",""360"""
"10.01.2018 13:00 - 10.01.2018 14:00,""0"",""0"",""380"",""480"""
"10.01.2018 14:00 - 10.01.2018 15:00,""0"",""0"",""460"",""460"""
"10.01.2018 15:00 - 10.01.2018 16:00,""0"",""0"",""500"",""500"""
"10.01.2018 16:00 - 10.01.2018 17:00,""0"",""0"",""390"",""490"""
"10.01.2018 17:00 - 10.01.2018 18:00,""0"",""0"",""390"",""490"""
"10.01.2018 18:00 - 10.01.2018 19:00,""0"",""0"",""440"",""540"""
"10.01.2018 19:00 - 10.01.2018 20:00,""0"",""0"",""440"",""490"""
"10.01.2018 20:00 - 10.01.2018 21:00,""280"",""280"",""250"",""350"""
"10.01.2018 21:00 - 10.01.2018 22:00,""240"",""240"",""150"",""150"""
"10.01.2018 22:00 - 10.01.2018 23:00,""502"",""502"",""30"",""30"""
"10.01.2018 23:00 - 11.01.2018 00:00,""634"",""634"",""0"",""0"""
"11.01.2018 00:00 - 11.01.2018 01:00,""300"",""300"",""0"",""0"""
"11.01.2018 01:00 - 11.01.2018 02:00,""214"",""214"",""20"",""20"""
"11.01.2018 02:00 - 11.01.2018 03:00,""250"",""250"",""20"",""20"""
"11.01.2018 03:00 - 11.01.2018 04:00,""130"",""130"",""20"",""20"""
"11.01.2018 04:00 - 11.01.2018 05:00,""219"",""219"",""20"",""20"""
"11.01.2018 05:00 - 11.01.2018 06:00,""250"",""250"",""20"",""20"""
"11.01.2018 06:00 - 11.01.2018 07:00,""100"",""100"",""0"",""0"""
"11.01.2018 07:00 - 11.01.2018 08:00,""0"",""200"",""40"",""240"""
"11.01.2018 08:00 - 11.01.2018 09:00,""0"",""200"",""40"",""340"""
"11.01.2018 09:00 - 11.01.2018 10:00,""0"",""200"",""148"",""448"""
"11.01.2018 10:00 - 11.01.2018 11:00,""0"",""100"",""365"",""565"""
"11.01.2018 11:00 - 11.01.2018 12:00,""0"",""50"",""340"",""540"""
"11.01.2018 12:00 - 11.01.2018 13:00,""0"",""0"",""340"",""540"""
"11.01.2018 13:00 - 11.01.2018 14:00,""0"",""0"",""340"",""540"""
"11.01.2018 14:00 - 11.01.2018 15:00,""0"",""67"",""355"",""555"""
"11.01.2018 15:00 - 11.01.2018 16:00,""0"",""100"",""335"",""535"""
"11.01.2018 16:00 - 11.01.2018 17:00,""0"",""0"",""275"",""375"""
"11.01.2018 17:00 - 11.01.2018 18:00,""0"",""0"",""380"",""530"""
"11.01.2018 18:00 - 11.01.2018 19:00,""0"",""0"",""355"",""455"""
"11.01.2018 19:00 - 11.01.2018 20:00,""0"",""0"",""325"",""325"""
"11.01.2018 20:00 - 11.01.2018 21:00,""0"",""140"",""135"",""335"""
"11.01.2018 21:00 - 11.01.2018 22:00,""30"",""30"",""80"",""180"""
"11.01.2018 22:00 - 11.01.2018 23:00,""260"",""510"",""0"",""87"""
"11.01.2018 23:00 - 12.01.2018 00:00,""278"",""502"",""0"",""0"""
"12.01.2018 00:00 - 12.01.2018 01:00,""629"",""629"",""0"",""0"""
"12.01.2018 01:00 - 12.01.2018 02:00,""695"",""695"",""0"",""0"""
"12.01.2018 02:00 - 12.01.2018 03:00,""540"",""540"",""0"",""0"""
"12.01.2018 03:00 - 12.01.2018 04:00,""327"",""327"",""0"",""0"""
"12.01.2018 04:00 - 12.01.2018 05:00,""495"",""495"",""29"",""29"""
"12.01.2018 05:00 - 12.01.2018 06:00,""545"",""545"",""0"",""0"""
"12.01.2018 06:00 - 12.01.2018 07:00,""136"",""136"",""75"",""75"""
"12.01.2018 07:00 - 12.01.2018 08:00,""0"",""0"",""0"",""100"""
"12.01.2018 08:00 - 12.01.2018 09:00,""0"",""0"",""101"",""201"""
"12.01.2018 09:00 - 12.01.2018 10:00,""0"",""50"",""251"",""451"""
"12.01.2018 10:00 - 12.01.2018 11:00,""0"",""120"",""381"",""481"""
"12.01.2018 11:00 - 12.01.2018 12:00,""0"",""100"",""405"",""605"""
"12.01.2018 12:00 - 12.01.2018 13:00,""0"",""0"",""425"",""625"""
"12.01.2018 13:00 - 12.01.2018 14:00,""0"",""0"",""425"",""525"""
"12.01.2018 14:00 - 12.01.2018 15:00,""0"",""100"",""341"",""441"""
"12.01.2018 15:00 - 12.01.2018 16:00,""0"",""150"",""338"",""438"""
"12.01.2018 16:00 - 12.01.2018 17:00,""0"",""0"",""331"",""431"""
"12.01.2018 17:00 - 12.01.2018 18:00,""0"",""0"",""356"",""456"""
"12.01.2018 18:00 - 12.01.2018 19:00,""0"",""0"",""181"",""181"""
"12.01.2018 19:00 - 12.01.2018 20:00,""0"",""150"",""225"",""425"""
"12.01.2018 20:00 - 12.01.2018 21:00,""0"",""50"",""330"",""480"""
"12.01.2018 21:00 - 12.01.2018 22:00,""0"",""100"",""264"",""314"""
"12.01.2018 22:00 - 12.01.2018 23:00,""307"",""387"",""0"",""100"""
"12.01.2018 23:00 - 13.01.2018 00:00,""130"",""180"",""74"",""74"""
"13.01.2018 00:00 - 13.01.2018 01:00,""360"",""360"",""0"",""0"""
"13.01.2018 01:00 - 13.01.2018 02:00,""334"",""334"",""9"",""9"""
"13.01.2018 02:00 - 13.01.2018 03:00,""226"",""226"",""0"",""0"""
"13.01.2018 03:00 - 13.01.2018 04:00,""310"",""310"",""0"",""0"""
"13.01.2018 04:00 - 13.01.2018 05:00,""290"",""340"",""0"",""0"""
"13.01.2018 05:00 - 13.01.2018 06:00,""215"",""215"",""0"",""0"""
"13.01.2018 06:00 - 13.01.2018 07:00,""75"",""75"",""18"",""18"""
"13.01.2018 07:00 - 13.01.2018 08:00,""70"",""91"",""231"",""231"""
"13.01.2018 08:00 - 13.01.2018 09:00,""95"",""95"",""293"",""293"""
"13.01.2018 09:00 - 13.01.2018 10:00,""95"",""95"",""115"",""115"""
"13.01.2018 10:00 - 13.01.2018 11:00,""75"",""75"",""146"",""146"""
"13.01.2018 11:00 - 13.01.2018 12:00,""75"",""75"",""146"",""146"""
"13.01.2018 12:00 - 13.01.2018 13:00,""0"",""0"",""157"",""357"""
"13.01.2018 13:00 - 13.01.2018 14:00,""0"",""0"",""192"",""392"""
"13.01.2018 14:00 - 13.01.2018 15:00,""0"",""0"",""335"",""385"""
"13.01.2018 15:00 - 13.01.2018 16:00,""0"",""0"",""239"",""439"""
"13.01.2018 16:00 - 13.01.2018 17:00,""0"",""0"",""381"",""581"""
"13.01.2018 17:00 - 13.01.2018 18:00,""0"",""0"",""227"",""427"""
"13.01.2018 18:00 - 13.01.2018 19:00,""90"",""90"",""100"",""300"""
"13.01.2018 19:00 - 13.01.2018 20:00,""50"",""50"",""259"",""459"""
"13.01.2018 20:00 - 13.01.2018 21:00,""50"",""50"",""450"",""450"""
"13.01.2018 21:00 - 13.01.2018 22:00,""0"",""0"",""400"",""400"""
"13.01.2018 22:00 - 13.01.2018 23:00,""80"",""80"",""184"",""184"""
"13.01.2018 23:00 - 14.01.2018 00:00,""0"",""0"",""98"",""98"""
"14.01.2018 00:00 - 14.01.2018 01:00,""0"",""0"",""130"",""130"""
"14.01.2018 01:00 - 14.01.2018 02:00,""0"",""0"",""0"",""0"""
"14.01.2018 02:00 - 14.01.2018 03:00,""0"",""0"",""0"",""0"""
"14.01.2018 03:00 - 14.01.2018 04:00,""0"",""0"",""0"",""0"""
"14.01.2018 04:00 - 14.01.2018 05:00,""0"",""0"",""0"",""0"""
"14.01.2018 05:00 - 14.01.2018 06:00,""0"",""0"",""0"",""0"""
"14.01.2018 06:00 - 14.01.2018 07:00,""0"",""0"",""0"",""0"""
"14.01.2018 07:00 - 14.01.2018 08:00,""0"",""0"",""89"",""89"""
"14.01.2018 08:00 - 14.01.2018 09:00,""0"",""0"",""308"",""308"""
"14.01.2018 09:00 - 14.01.2018 10:00,""0"",""0"",""415"",""415"""
"14.01.2018 10:00 - 14.01.2018 11:00,""0"",""0"",""415"",""415"""
"14.01.2018 11:00 - 14.01.2018 12:00,""0"",""0"",""420"",""420"""
"14.01.2018 12:00 - 14.01.2018 13:00,""0"",""100"",""440"",""590"""
